"Data Source","World Development Indicators",

"Last Updated Date","2019-10-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Early-demographic dividend","EAR","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","61.0259208679199","61.2363700866699","61.9264602661133","62.5760612487793","63.1957702636719","63.687671661377","64.0940399169922","64.7015075683594","65.2522277832031","65.9076919555664","66.4764099121094","67.0750274658203","68.2734375","68.8736572265625","69.824592590332","70.8724899291992","71.6790390014648","72.803352355957","73.6360397338867","74.5109176635742","75.4256134033203","76.1943817138672","76.8431701660156","78.8853607177734","79.6475524902344","80.3170623779297","80.9267730712891","81.8783111572266","82.6928863525391","83.5420684814453","84.0011520385742","84.4982528686523","85.0926513671875","86.6973495483398","87.3156127929688","87.49763","87.72479","88.37109","89.2016","89.86197","90.50441","91.00432","91.32992","91.68122",
"East Asia & Pacific","EAS","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","84.2593688964844","84.3974685668945","85.5149765014648","86.6125183105469","87.6461181640625","88.5637588500977","89.462532043457","89.973991394043","90.5999984741211","91.163200378418","91.6335983276367","92.7871780395508","93.9961700439453","94.1382369995117","94.2686386108398","94.2488021850586","94.2195129394531","94.1635513305664","94.2149963378906","94.2666397094727","94.4595794677734","96.4848709106445","96.548828125","96.6483306884766","97.6737365722656","96.7979507446289","96.9092712402344","97.0851287841797","98.0766296386719","98.1593704223633","98.1199035644531","98.3781204223633","98.7439193725586","98.7107391357422","98.66465","98.25042","98.28715","98.31566","98.54467","98.59638","98.6174","98.65223","98.68101",
"Europe & Central Asia (excluding high income)","ECA","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","97.7154235839844","98.2765502929688","98.295768737793","98.2950286865234","98.3185501098633","98.3493576049805","98.3464508056641","98.3883972167969","98.4011917114258","98.4390411376953","98.4796295166016","98.5192031860352","98.5575714111328","98.6008071899414","98.6349029541016","98.69921875","98.67626953125","98.8085632324219","98.8424072265625","98.8693084716797","98.8704299926758","98.8339996337891","98.9583206176758","98.9596633911133","98.9898529052734","99.0353927612305","99.341667175293","99.42214","99.51452","99.56386","99.61052","99.6372","99.66466","99.72012","99.72408","99.74303",
"Europe & Central Asia","ECS","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.9655914306641","98.9794998168945","98.8619384765625","98.8848724365234","98.9071807861328","98.9288482666016","98.9527969360352","98.9757766723633","99.0017166137695","98.9944686889648","99.0696716308594","99.0924530029297","99.1174392700195","99.124137878418","99.1175537109375","99.2014923095703","99.1757965087891","99.2294998168945","99.2248001098633","99.4197006225586","99.47449","99.50534","99.53741","99.56906","99.59408","99.60965","99.64151","99.65887","99.67093",
"Ecuador","ECU","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","93.4014587402344","","","","","","","","96.194709777832","","","","","","","","","","","96.43721","","","","","","98.39142","98.45375","98.80065","98.65271","98.69484","98.83163","98.60464","99.09777","99.1262","99.05711","99.25505","",
"Egypt, Arab Rep.","EGY","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","51.0311584472656","","","","","","","","","","63.3276214599609","","","","","","","","","","73.2186889648438","","","","","","","","","84.9329","84.87827","","","","87.50964","","89.28192","92.02342","","","","88.19256","",
"Euro area","EMU","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.94529","","","","","","86.97491","","","","","","","","","","93.27239",
"Spain","ESP","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","98.6419525146484","","","","","","","","","","99.554557800293","","","","","","","","","","","","","99.5582","99.53779","","99.56934","99.56431","99.599","99.59463","99.6994","99.67278","99.66926","99.72276","99.65568","99.62216","","99.71555",
"Estonia","EST","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.8678894042969","","","","","","","","","","","99.7705","","","","","","","","","","","99.9489","","","","","","","",
